"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 10 16:17:47 GMT 2023","Fri Feb 10 16:17:47 GMT 2023","215","Surefire suite","Surefire test","APIAutoMation.GetAllDataTest","APIAutoMation.GetAllDataTest","getalldata","getalldata",""
"failed","Fri Feb 10 16:17:48 GMT 2023","Fri Feb 10 16:17:48 GMT 2023","395","Surefire suite","Surefire test","APIAutoMation.FailingTests","APIAutoMation.FailingTests","getalldata","Wrong URL",""
"passed","Fri Feb 10 16:17:35 GMT 2023","Fri Feb 10 16:17:47 GMT 2023","12249","Surefire suite","Surefire test","APIAutoMation.DatadrivenTest","APIAutoMation.DatadrivenTest","DatadrivenExcelTest","DatadrivenExcelTest",""
"passed","Fri Feb 10 16:17:48 GMT 2023","Fri Feb 10 16:17:48 GMT 2023","187","Surefire suite","Surefire test","APIAutoMation.GetConditionaldataTest","APIAutoMation.GetConditionaldataTest","getconditionaldata","getconditionaldata",""
"failed","Fri Feb 10 16:17:48 GMT 2023","Fri Feb 10 16:17:48 GMT 2023","215","Surefire suite","Surefire test","APIAutoMation.FailingTests","APIAutoMation.FailingTests","getconditionaldata","Wrong Comparative Parameters",""
"passed","Fri Feb 10 16:17:47 GMT 2023","Fri Feb 10 16:17:48 GMT 2023","165","Surefire suite","Surefire test","APIAutoMation.GetAllDataTest","APIAutoMation.GetAllDataTest","headerstest","headerstest",""
"passed","Fri Feb 10 16:17:32 GMT 2023","Fri Feb 10 16:17:35 GMT 2023","2528","Surefire suite","Surefire test","APIAutoMation.RecordCountTest","APIAutoMation.RecordCountTest","totalrecords","totalrecords",""
