"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 10 04:37:29 GMT 2023","Fri Feb 10 04:37:49 GMT 2023","19945","Surefire suite","Surefire test","APIAutoMation.DatadrivenTest","APIAutoMation.DatadrivenTest","DatadrivenExcelTest","DatadrivenExcelTest",""
"passed","Fri Feb 10 04:37:26 GMT 2023","Fri Feb 10 04:37:29 GMT 2023","2840","Surefire suite","Surefire test","APIAutoMation.RecordCountTest","APIAutoMation.RecordCountTest","totalrecords","totalrecords",""
"passed","Fri Feb 10 04:37:50 GMT 2023","Fri Feb 10 04:37:50 GMT 2023","314","Surefire suite","Surefire test","APIAutoMation.GetAllDataTest","APIAutoMation.GetAllDataTest","headerstest","headerstest",""
"passed","Fri Feb 10 04:37:50 GMT 2023","Fri Feb 10 04:37:51 GMT 2023","319","Surefire suite","Surefire test","APIAutoMation.FailingTests","APIAutoMation.FailingTests","getconditionaldata","Wrong Comparative Parameters",""
"passed","Fri Feb 10 04:37:51 GMT 2023","Fri Feb 10 04:37:51 GMT 2023","316","Surefire suite","Surefire test","APIAutoMation.GetConditionaldataTest","APIAutoMation.GetConditionaldataTest","getconditionaldata","getconditionaldata",""
"passed","Fri Feb 10 04:37:50 GMT 2023","Fri Feb 10 04:37:50 GMT 2023","277","Surefire suite","Surefire test","APIAutoMation.FailingTests","APIAutoMation.FailingTests","getalldata","Wrong URL",""
"passed","Fri Feb 10 04:37:49 GMT 2023","Fri Feb 10 04:37:50 GMT 2023","311","Surefire suite","Surefire test","APIAutoMation.GetAllDataTest","APIAutoMation.GetAllDataTest","getalldata","getalldata",""
