"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 10 04:25:52 GMT 2023","Fri Feb 10 04:25:52 GMT 2023","173","Surefire suite","Surefire test","APIAutoMation.GetConditionaldataTest","APIAutoMation.GetConditionaldataTest","getconditionaldata","getconditionaldata",""
"passed","Fri Feb 10 04:25:51 GMT 2023","Fri Feb 10 04:25:52 GMT 2023","128","Surefire suite","Surefire test","APIAutoMation.GetAllDataTest","APIAutoMation.GetAllDataTest","getalldata","getalldata",""
"passed","Fri Feb 10 04:25:52 GMT 2023","Fri Feb 10 04:25:52 GMT 2023","142","Surefire suite","Surefire test","APIAutoMation.FailingTests","APIAutoMation.FailingTests","getconditionaldata","Wrong Comparative Parameters",""
"passed","Fri Feb 10 04:25:42 GMT 2023","Fri Feb 10 04:25:51 GMT 2023","9794","Surefire suite","Surefire test","APIAutoMation.DatadrivenTest","APIAutoMation.DatadrivenTest","DatadrivenExcelTest","DatadrivenExcelTest",""
"passed","Fri Feb 10 04:25:52 GMT 2023","Fri Feb 10 04:25:52 GMT 2023","104","Surefire suite","Surefire test","APIAutoMation.FailingTests","APIAutoMation.FailingTests","getalldata","Wrong URL",""
"passed","Fri Feb 10 04:25:52 GMT 2023","Fri Feb 10 04:25:52 GMT 2023","111","Surefire suite","Surefire test","APIAutoMation.GetAllDataTest","APIAutoMation.GetAllDataTest","headerstest","headerstest",""
"passed","Fri Feb 10 04:25:39 GMT 2023","Fri Feb 10 04:25:42 GMT 2023","2348","Surefire suite","Surefire test","APIAutoMation.RecordCountTest","APIAutoMation.RecordCountTest","totalrecords","totalrecords",""
