"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Feb 10 22:20:24 GMT 2023","Fri Feb 10 22:20:24 GMT 2023","297","Surefire suite","Surefire test","APIAutoMation.FailingTests","APIAutoMation.FailingTests","getconditionaldata","Wrong Comparative Parameters",""
"passed","Fri Feb 10 22:20:04 GMT 2023","Fri Feb 10 22:20:23 GMT 2023","18951","Surefire suite","Surefire test","APIAutoMation.DatadrivenTest","APIAutoMation.DatadrivenTest","DatadrivenExcelTest","DatadrivenExcelTest",""
"passed","Fri Feb 10 22:20:24 GMT 2023","Fri Feb 10 22:20:24 GMT 2023","290","Surefire suite","Surefire test","APIAutoMation.FailingTests","APIAutoMation.FailingTests","getalldata","Wrong URL",""
"passed","Fri Feb 10 22:20:24 GMT 2023","Fri Feb 10 22:20:25 GMT 2023","332","Surefire suite","Surefire test","APIAutoMation.GetConditionaldataTest","APIAutoMation.GetConditionaldataTest","getconditionaldata","getconditionaldata",""
"passed","Fri Feb 10 22:20:23 GMT 2023","Fri Feb 10 22:20:24 GMT 2023","358","Surefire suite","Surefire test","APIAutoMation.GetAllDataTest","APIAutoMation.GetAllDataTest","headerstest","headerstest",""
"passed","Fri Feb 10 22:20:23 GMT 2023","Fri Feb 10 22:20:23 GMT 2023","333","Surefire suite","Surefire test","APIAutoMation.GetAllDataTest","APIAutoMation.GetAllDataTest","getalldata","getalldata",""
"passed","Fri Feb 10 22:20:02 GMT 2023","Fri Feb 10 22:20:04 GMT 2023","2540","Surefire suite","Surefire test","APIAutoMation.RecordCountTest","APIAutoMation.RecordCountTest","totalrecords","totalrecords",""
