"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 09 04:57:13 GMT 2023","Thu Feb 09 04:57:15 GMT 2023","2303","Surefire suite","Surefire test","APIAutoMation.RecordCountTest","APIAutoMation.RecordCountTest","totalrecords","totalrecords",""
"passed","Thu Feb 09 05:02:18 GMT 2023","Thu Feb 09 05:02:18 GMT 2023","269","Surefire suite","Surefire test","APIAutoMation.GetAllDataTest","APIAutoMation.GetAllDataTest","headerstest","headerstest",""
"passed","Thu Feb 09 05:02:19 GMT 2023","Thu Feb 09 05:02:19 GMT 2023","293","Surefire suite","Surefire test","APIAutoMation.FailingTests","APIAutoMation.FailingTests","getconditionaldata","Wrong Comparative Parameters",""
"passed","Thu Feb 09 05:02:19 GMT 2023","Thu Feb 09 05:02:19 GMT 2023","294","Surefire suite","Surefire test","APIAutoMation.GetConditionaldataTest","APIAutoMation.GetConditionaldataTest","getconditionaldata","getconditionaldata",""
"passed","Thu Feb 09 05:02:18 GMT 2023","Thu Feb 09 05:02:18 GMT 2023","326","Surefire suite","Surefire test","APIAutoMation.GetAllDataTest","APIAutoMation.GetAllDataTest","getalldata","getalldata",""
"passed","Thu Feb 09 04:57:15 GMT 2023","Thu Feb 09 05:02:18 GMT 2023","302618","Surefire suite","Surefire test","APIAutoMation.DatadrivenTest","APIAutoMation.DatadrivenTest","DatadrivenExcelTest","DatadrivenExcelTest",""
"passed","Thu Feb 09 05:02:18 GMT 2023","Thu Feb 09 05:02:19 GMT 2023","263","Surefire suite","Surefire test","APIAutoMation.FailingTests","APIAutoMation.FailingTests","getalldata","Wrong URL",""
