"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 09 02:07:13 GMT 2023","Thu Feb 09 02:07:13 GMT 2023","131","Surefire suite","Surefire test","APIAutoMation.FailingTests","APIAutoMation.FailingTests","getconditionaldata","Wrong Comparative Parameters",""
"passed","Thu Feb 09 02:07:13 GMT 2023","Thu Feb 09 02:07:13 GMT 2023","129","Surefire suite","Surefire test","APIAutoMation.GetConditionaldataTest","APIAutoMation.GetConditionaldataTest","getconditionaldata","getconditionaldata",""
"passed","Thu Feb 09 02:04:47 GMT 2023","Thu Feb 09 02:04:49 GMT 2023","2591","Surefire suite","Surefire test","APIAutoMation.RecordCountTest","APIAutoMation.RecordCountTest","totalrecords","totalrecords",""
"passed","Thu Feb 09 02:04:49 GMT 2023","Thu Feb 09 02:07:13 GMT 2023","143245","Surefire suite","Surefire test","APIAutoMation.DatadrivenTest","APIAutoMation.DatadrivenTest","DatadrivenExcelTest","DatadrivenExcelTest",""
"passed","Thu Feb 09 02:07:13 GMT 2023","Thu Feb 09 02:07:13 GMT 2023","151","Surefire suite","Surefire test","APIAutoMation.GetAllDataTest","APIAutoMation.GetAllDataTest","getalldata","getalldata",""
"passed","Thu Feb 09 02:07:13 GMT 2023","Thu Feb 09 02:07:13 GMT 2023","120","Surefire suite","Surefire test","APIAutoMation.FailingTests","APIAutoMation.FailingTests","getalldata","Wrong URL",""
"passed","Thu Feb 09 02:07:13 GMT 2023","Thu Feb 09 02:07:13 GMT 2023","117","Surefire suite","Surefire test","APIAutoMation.GetAllDataTest","APIAutoMation.GetAllDataTest","headerstest","headerstest",""
