"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 10 22:19:45 GMT 2023","Fri Feb 10 22:19:57 GMT 2023","11745","Surefire suite","Surefire test","APIAutoMation.DatadrivenTest","APIAutoMation.DatadrivenTest","DatadrivenExcelTest","DatadrivenExcelTest",""
"passed","Fri Feb 10 22:19:57 GMT 2023","Fri Feb 10 22:19:58 GMT 2023","141","Surefire suite","Surefire test","APIAutoMation.GetConditionaldataTest","APIAutoMation.GetConditionaldataTest","getconditionaldata","getconditionaldata",""
"passed","Fri Feb 10 22:19:57 GMT 2023","Fri Feb 10 22:19:57 GMT 2023","195","Surefire suite","Surefire test","APIAutoMation.FailingTests","APIAutoMation.FailingTests","getalldata","Wrong URL",""
"passed","Fri Feb 10 22:19:57 GMT 2023","Fri Feb 10 22:19:57 GMT 2023","137","Surefire suite","Surefire test","APIAutoMation.GetAllDataTest","APIAutoMation.GetAllDataTest","getalldata","getalldata",""
"failed","Fri Feb 10 22:19:57 GMT 2023","Fri Feb 10 22:19:57 GMT 2023","163","Surefire suite","Surefire test","APIAutoMation.FailingTests","APIAutoMation.FailingTests","getconditionaldata","Wrong Comparative Parameters",""
"passed","Fri Feb 10 22:19:42 GMT 2023","Fri Feb 10 22:19:45 GMT 2023","3437","Surefire suite","Surefire test","APIAutoMation.RecordCountTest","APIAutoMation.RecordCountTest","totalrecords","totalrecords",""
"passed","Fri Feb 10 22:19:57 GMT 2023","Fri Feb 10 22:19:57 GMT 2023","137","Surefire suite","Surefire test","APIAutoMation.GetAllDataTest","APIAutoMation.GetAllDataTest","headerstest","headerstest",""
