"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 09 01:45:42 GMT 2023","Thu Feb 09 01:45:42 GMT 2023","119","Surefire suite","Surefire test","APIAutoMation.FailingTests","APIAutoMation.FailingTests","getconditionaldata","Wrong Comparative Parameters",""
"passed","Thu Feb 09 01:45:42 GMT 2023","Thu Feb 09 01:45:42 GMT 2023","105","Surefire suite","Surefire test","APIAutoMation.FailingTests","APIAutoMation.FailingTests","getalldata","Wrong URL",""
"passed","Thu Feb 09 01:43:25 GMT 2023","Thu Feb 09 01:43:27 GMT 2023","2376","Surefire suite","Surefire test","APIAutoMation.RecordCountTest","APIAutoMation.RecordCountTest","totalrecords","totalrecords",""
"passed","Thu Feb 09 01:45:42 GMT 2023","Thu Feb 09 01:45:42 GMT 2023","105","Surefire suite","Surefire test","APIAutoMation.GetAllDataTest","APIAutoMation.GetAllDataTest","headerstest","headerstest",""
"passed","Thu Feb 09 01:45:42 GMT 2023","Thu Feb 09 01:45:42 GMT 2023","133","Surefire suite","Surefire test","APIAutoMation.GetAllDataTest","APIAutoMation.GetAllDataTest","getalldata","getalldata",""
"passed","Thu Feb 09 01:45:42 GMT 2023","Thu Feb 09 01:45:43 GMT 2023","216","Surefire suite","Surefire test","APIAutoMation.GetConditionaldataTest","APIAutoMation.GetConditionaldataTest","getconditionaldata","getconditionaldata",""
"passed","Thu Feb 09 01:43:27 GMT 2023","Thu Feb 09 01:45:42 GMT 2023","134397","Surefire suite","Surefire test","APIAutoMation.DatadrivenTest","APIAutoMation.DatadrivenTest","DatadrivenExcelTest","DatadrivenExcelTest",""
