"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 10 04:36:54 GMT 2023","Fri Feb 10 04:36:54 GMT 2023","353","Surefire suite","Surefire test","APIAutoMation.FailingTests","APIAutoMation.FailingTests","getconditionaldata","Wrong Comparative Parameters",""
"passed","Fri Feb 10 04:36:54 GMT 2023","Fri Feb 10 04:36:55 GMT 2023","325","Surefire suite","Surefire test","APIAutoMation.GetConditionaldataTest","APIAutoMation.GetConditionaldataTest","getconditionaldata","getconditionaldata",""
"passed","Fri Feb 10 04:31:48 GMT 2023","Fri Feb 10 04:36:53 GMT 2023","305115","Surefire suite","Surefire test","APIAutoMation.DatadrivenTest","APIAutoMation.DatadrivenTest","DatadrivenExcelTest","DatadrivenExcelTest",""
"passed","Fri Feb 10 04:36:53 GMT 2023","Fri Feb 10 04:36:54 GMT 2023","279","Surefire suite","Surefire test","APIAutoMation.GetAllDataTest","APIAutoMation.GetAllDataTest","headerstest","headerstest",""
"passed","Fri Feb 10 04:36:53 GMT 2023","Fri Feb 10 04:36:53 GMT 2023","290","Surefire suite","Surefire test","APIAutoMation.GetAllDataTest","APIAutoMation.GetAllDataTest","getalldata","getalldata",""
"passed","Fri Feb 10 04:31:45 GMT 2023","Fri Feb 10 04:31:48 GMT 2023","2623","Surefire suite","Surefire test","APIAutoMation.RecordCountTest","APIAutoMation.RecordCountTest","totalrecords","totalrecords",""
"passed","Fri Feb 10 04:36:54 GMT 2023","Fri Feb 10 04:36:54 GMT 2023","287","Surefire suite","Surefire test","APIAutoMation.FailingTests","APIAutoMation.FailingTests","getalldata","Wrong URL",""
