"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 09 05:06:25 GMT 2023","Thu Feb 09 05:06:27 GMT 2023","2173","Surefire suite","Surefire test","APIAutoMation.RecordCountTest","APIAutoMation.RecordCountTest","totalrecords","totalrecords",""
"passed","Thu Feb 09 05:09:03 GMT 2023","Thu Feb 09 05:09:03 GMT 2023","143","Surefire suite","Surefire test","APIAutoMation.GetConditionaldataTest","APIAutoMation.GetConditionaldataTest","getconditionaldata","getconditionaldata",""
"passed","Thu Feb 09 05:09:03 GMT 2023","Thu Feb 09 05:09:03 GMT 2023","152","Surefire suite","Surefire test","APIAutoMation.FailingTests","APIAutoMation.FailingTests","getalldata","Wrong URL",""
"passed","Thu Feb 09 05:06:27 GMT 2023","Thu Feb 09 05:09:02 GMT 2023","155230","Surefire suite","Surefire test","APIAutoMation.DatadrivenTest","APIAutoMation.DatadrivenTest","DatadrivenExcelTest","DatadrivenExcelTest",""
"passed","Thu Feb 09 05:09:02 GMT 2023","Thu Feb 09 05:09:03 GMT 2023","148","Surefire suite","Surefire test","APIAutoMation.GetAllDataTest","APIAutoMation.GetAllDataTest","getalldata","getalldata",""
"passed","Thu Feb 09 05:09:03 GMT 2023","Thu Feb 09 05:09:03 GMT 2023","185","Surefire suite","Surefire test","APIAutoMation.FailingTests","APIAutoMation.FailingTests","getconditionaldata","Wrong Comparative Parameters",""
"passed","Thu Feb 09 05:09:03 GMT 2023","Thu Feb 09 05:09:03 GMT 2023","126","Surefire suite","Surefire test","APIAutoMation.GetAllDataTest","APIAutoMation.GetAllDataTest","headerstest","headerstest",""
