"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 22 21:47:37 GMT 2023","Wed Feb 22 21:47:37 GMT 2023","243","Surefire suite","Surefire test","APIAutoMation.FailingTests","APIAutoMation.FailingTests","getconditionaldata","Wrong Comparative Parameters",""
"failed","Wed Feb 22 21:47:36 GMT 2023","Wed Feb 22 21:47:37 GMT 2023","676","Surefire suite","Surefire test","APIAutoMation.FailingTests","APIAutoMation.FailingTests","getalldata","Wrong URL",""
"passed","Wed Feb 22 21:47:49 GMT 2023","Wed Feb 22 21:47:49 GMT 2023","242","Surefire suite","Surefire test","APIAutoMation.RecordCountTest","APIAutoMation.RecordCountTest","totalrecords","totalrecords",""
"passed","Wed Feb 22 21:47:37 GMT 2023","Wed Feb 22 21:47:49 GMT 2023","12118","Surefire suite","Surefire test","APIAutoMation.DatadrivenTest","APIAutoMation.DatadrivenTest","DatadrivenExcelTest","DatadrivenExcelTest",""
"passed","Wed Feb 22 21:47:49 GMT 2023","Wed Feb 22 21:47:49 GMT 2023","135","Surefire suite","Surefire test","APIAutoMation.GetAllDataTest","APIAutoMation.GetAllDataTest","getalldata","getalldata",""
"passed","Wed Feb 22 21:47:49 GMT 2023","Wed Feb 22 21:47:49 GMT 2023","124","Surefire suite","Surefire test","APIAutoMation.GetAllDataTest","APIAutoMation.GetAllDataTest","headerstest","headerstest",""
"passed","Wed Feb 22 21:47:33 GMT 2023","Wed Feb 22 21:47:36 GMT 2023","2919","Surefire suite","Surefire test","APIAutoMation.GetConditionaldataTest","APIAutoMation.GetConditionaldataTest","getconditionaldata","getconditionaldata",""
