"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 10 16:08:28 GMT 2023","Fri Feb 10 16:08:29 GMT 2023","157","Surefire suite","Surefire test","APIAutoMation.GetAllDataTest","APIAutoMation.GetAllDataTest","headerstest","headerstest",""
"passed","Fri Feb 10 16:08:17 GMT 2023","Fri Feb 10 16:08:28 GMT 2023","11615","Surefire suite","Surefire test","APIAutoMation.DatadrivenTest","APIAutoMation.DatadrivenTest","DatadrivenExcelTest","DatadrivenExcelTest",""
"passed","Fri Feb 10 16:08:14 GMT 2023","Fri Feb 10 16:08:17 GMT 2023","2267","Surefire suite","Surefire test","APIAutoMation.RecordCountTest","APIAutoMation.RecordCountTest","totalrecords","totalrecords",""
"passed","Fri Feb 10 16:08:28 GMT 2023","Fri Feb 10 16:08:28 GMT 2023","161","Surefire suite","Surefire test","APIAutoMation.GetAllDataTest","APIAutoMation.GetAllDataTest","getalldata","getalldata",""
"failed","Fri Feb 10 16:08:29 GMT 2023","Fri Feb 10 16:08:29 GMT 2023","355","Surefire suite","Surefire test","APIAutoMation.FailingTests","APIAutoMation.FailingTests","getalldata","Wrong URL",""
"passed","Fri Feb 10 16:08:29 GMT 2023","Fri Feb 10 16:08:29 GMT 2023","171","Surefire suite","Surefire test","APIAutoMation.GetConditionaldataTest","APIAutoMation.GetConditionaldataTest","getconditionaldata","getconditionaldata",""
"failed","Fri Feb 10 16:08:29 GMT 2023","Fri Feb 10 16:08:29 GMT 2023","188","Surefire suite","Surefire test","APIAutoMation.FailingTests","APIAutoMation.FailingTests","getconditionaldata","Wrong Comparative Parameters",""
